	tf.id	family	gene.name	back.targ	back.ratio
37	AT5G66300	NAC	"ANAC105, VND3"	3403	0.123051889
38	AT1G12260	NAC	"ANAC007, EMB2749, VND4"	8416	0.304321099
39	AT5G62380	NAC	"ANAC101, VND6"	9419	0.340589405
40	AT4G38170		FRS9	6164	0.22288917
41	AT3G10800	bZIP	BZIP28	1469	0.053118785
42	AT1G24250	PAH2		2109	0.076261074
43	AT3G21890	C2C2-CO-like		11208	0.405279335
44	AT1G13260	RAV	RAV1	9335	0.33755198
45	AT4G01550	NAC	"ANAC069, NTL13, NTM2"	4298	0.155414934
46	AT1G79580	NAC	"ANAC033, SMB"	15995	0.578376424
47	AT4G28500	NAC	"ANAC073, SND2"	15520	0.561200506
48	AT1G28470	NAC	"ANAC010, SND3"	16845	0.609112276
49	AT1G75390	bZIP	bZIP44	2485	0.089857169
50	AT2G18060	NAC	"ANAC037, VND1"	5730	0.207195805
51	AT4G36160	NAC	"ANAC076, VND2"	10533	0.380871452
52	AT1G19040	NAC		948	0.034279515
53	AT1G01720	NAC	"ANAC002, ATAF1"	7615	0.275357078
54	AT3G15170	NAC	"anac054, NAC1, CUC1"	2763	0.0999096
55	AT5G53950	NAC	"ANAC098, CUC2"	3383	0.122328693
56	AT2G04038	bZIP	bZIP48	3512	0.12699331
57	AT1G76420	NAC	"ANAC031, CUC3, NAC368"	5263	0.190309167
58	AT5G04410	NAC	"ANAC078, NAC2"	10001	0.361634424
59	AT1G52880	NAC	"ANAC018, NAM, NARS2"	4760	0.172120774
60	AT1G69490	NAC	"ANAC029, NAP"	4202	0.151943591
61	AT2G46770	NAC	"ANAC043, EMB2301, NST1"	10561	0.381883927
62	AT2G27300	NAC	"ANAC040, NTL8"	4907	0.177436268
63	AT4G01540	NAC	NTM1	11379	0.411462665
64	AT3G18400	NAC	ANAC058	10209	0.369155668
65	AT3G49530	NAC	ANAC062	5243	0.18958597
66	AT4G10350	NAC	ANAC070	10772	0.38951365
67	AT4G17980	NAC	ANAC071	11524	0.41670584
68	AT4G29230	NAC	ANAC075	3776	0.136539505
69	AT1G77920	bZIP	bZIP50	13618	0.492424516
70	AT5G07680	NAC	"ANAC079, ANAC080, NAC4"	2581	0.093328512
71	AT5G13180	NAC	ANAC083	9759	0.352883746
72	AT5G18270	NAC	ANAC087	4785	0.173024769
73	AT5G39610	NAC	"ANAC092, NAC2, NAC6"	6387	0.230952811
74	AT5G39820	NAC	ANAC094	705	0.025492678
75	AT5G46590	NAC	ANAC096	8428	0.304755017
76	AT3G12250	bZIP	"bZIP45, TGA6"	12753	0.461146266
77	AT5G64060	NAC	ANAC103	4624	0.167203037
78	AT1G54330	NAC	ANAC020	6180	0.223467727
79	AT1G65910	NAC	ANAC028	6318	0.228457783
80	AT2G02450	NAC	"ANAC034, ANAC035, LOV1"	5156	0.186440065
81	AT2G24430	NAC	"ANAC038, ANAC039"	5259	0.190164527
82	AT2G43000	NAC	ANAC042	4985	0.180256735
83	AT3G03200	NAC	ANAC045	9183	0.332055686
84	AT3G04060	NAC	ANAC046	10054	0.363550895
85	AT1G08320	bZIP	"bZIP21, "	11043	0.399312963
86	AT3G04070	NAC	ANAC047	6448	0.233158561
87	AT3G10480	NAC	ANAC050	8396	0.303597903
88	AT3G10500	NAC	ANAC053	5926	0.214283131
89	AT3G15500	NAC	"ANAC055, NAC3"	6370	0.230338094
90	AT3G17730	NAC	ANAC057	4565	0.165069608
91	AT5G02840		"RVE4, LCL1"	4715	0.170493582
92	AT1G01060	MYB	LHY	13356	0.482950642
93	AT5G17300	MYB	RVE1	17097	0.618224553
94	AT5G67580		"TRB2, TBP3"	5446	0.196926415
95	AT5G59430		TRP1	563	0.020357982
96	AT3G46590		"TRFL1, TRP2"	1512	0.054673658
97	AT1G02230	NAC	ANAC004	7245	0.261977943
98	AT1G43700	bZIP	"bZIP51, VIP1"	1443	0.05217863
99	AT1G02250	NAC	ANAC005	6448	0.233158561
100	AT1G32870	NAC	ANAC013	4626	0.167275357
101	AT1G34180	NAC	ANAC016	10965	0.396492497
102	AT1G34190	NAC	ANAC017	9530	0.344603146
103	AT3G09600	MYB		13384	0.483963117
104	AT3G11280			1813	0.065557765
105	AT4G01280	MYB	RVE5	11909	0.430627373
106	AT2G18160	bZIP	"bZIP2, GBF5"	3807	0.137660459
107	AT5G05790	Homeodomain-like		3277	0.118495751
108	AT5G08520	Homeodomain-like		7535	0.272464292
109	AT5G47390		"MYBH, KUODA1"	12035	0.435183511
110	AT5G52660		RVE6	11443	0.413776894
111	AT5G58900	MYB	DIV1	13331	0.482046646
112	AT1G18330		EPR1	18086	0.653986621
113	AT4G34590	bZIP	"bZIP11, B2, GBF6"	7781	0.281359609
114	AT1G19000	Homeodomain-like		13311	0.48132345
115	AT1G49010	Homeodomain-like	MYBS1	13810	0.499367203
116	AT1G74840	Homeodomain-like		7603	0.27492316
117	AT3G10113	Homeodomain-like		15664	0.566407521
118	AT3G10580	Homeodomain-like		4627	0.167311517
119	AT5G56840	MYB		14824	0.536033267
120	AT5G11260	bZIP	"HY5, TED5"	8124	0.29376243
121	AT5G61620	MYB		10442	0.377580908
122	AT3G08500	MYB	MYB83	11065	0.400108479
123	AT2G02820	MYB	MYB88	9266	0.335056952
124	AT1G34670	MYB	MYB93	4859	0.175700597
125	AT5G62470	MYB	"MYB96, MYBCOV1"	1107	0.040028928
126	AT4G18770	MYB	MYB98	4587	0.165865124
127	AT5G62320	MYB	"MYB99, MYBCU15"	3665	0.132525764
128	AT5G65210	bZIP	"bZIP47, TGA1"	7098	0.256662448
129	AT1G72740	SMH		12911	0.466859519
130	AT1G09540	MYB	MYB61	11242	0.406508769
131	AT1G68320	MYB	"MYB62, BW62B, BW62C"	9924	0.358850118
132	AT1G79180	MYB	MYB63	2353	0.085084072
133	AT3G11440	MYB	MYB65	8251	0.298354728
134	AT3G12720	MYB	"MYB67, ATY53"	13671	0.494340987
135	AT2G23290	MYB	MYB70	8427	0.304718857
136	AT4G37260	MYB	MYB73	7185	0.259808353
137	AT4G05100	MYB	MYB74	2835	0.102513108
138	AT3G50060	MYB	MYB77	16474	0.595696981
139	AT2G26960	MYB	MYB81	2864	0.103561743
140	AT5G11510	MYB	MYB3R4	1732	0.062628819
141	AT5G02320	MYB	MYB3R5	2334	0.084397035
142	AT5G67300	MYB	"MYB44, MYBR1"	11038	0.399132164
143	AT5G54230	MYB	MYB49	6540	0.236485265
144	AT4G01680	MYB	MYB55	8273	0.299150244
145	AT5G17800	MYB	MYB56	4241	0.153353824
146	AT5G06950	bZIP	"AHBP-1B, TGA2"	10780	0.389802929
147	AT3G01530	MYB	MYB57	9730	0.351835111
148	AT1G16490	MYB	MYB58	12389	0.44798409
149	AT5G56110	MYB	"MYB80, MYB103, MS188"	9796	0.35422166
150	AT4G32730	MYB	"MYB3R1, PC-MYB1"	11026	0.398698246
151	AT1G06180	MYB	"MYB13, MYBLFGN"	2422	0.0875791
152	AT3G53200	MYB	MYB27	4828	0.174579642
153	AT1G06850	bZIP	bZIP52	8914	0.322328693
154	AT5G06100	MYB	MYB33	14118	0.51050443
155	AT2G32460	MYB	"MYB101, ATM1"	8202	0.296582896
156	AT3G02940	MYB	MYB107	7559	0.273332128
157	AT1G25340	MYB	MYB116	7574	0.273874525
158	AT3G27785	MYB	MYB118	3699	0.133755198
159	AT5G58850	MYB	MYB119	7641	0.276297234
160	AT1G22070	bZIP	"bZIP22, TGA3"	3067	0.110902188
161	AT3G30210	MYB	MYB121	1853	0.067004158
162	AT4G04890	Homeobox	PDF2	1978	0.071524137
163	AT2G42430	LOB	LBD16	4846	0.175230519
164	AT1G06280	LOB	LBD2	13633	0.492966914
165	AT2G30340	LOB	LOB13	3210	0.116073043
166	AT2G45420	LOB	LBD18	10834	0.39175556
167	AT2G45410	LOB	LBD19	11954	0.432254565
168	AT5G10030	bZIP	"bZIP57, OBF4, TGA4"	6110	0.22093654
169	AT3G26620	LOB	LBD23	1361	0.049213524
170	AT5G63090	LOB	LOB	1184	0.042813234
171	AT5G13790	MADS	AGL15	2032	0.073476767
172	AT1G31140	MADS	"AGL63, GOA"	11483	0.415223287
173	AT2G22540	MADS	"AGL22, SVP"	12117	0.438148617
174	AT1G74650	MYB	"MYB31, ATY13"	13683	0.494774905
175	AT3G06490	MYB	"MYB108, BOS1"	1909	0.069029109
176	AT5G47370	Homeobox	HAT2	8255	0.298499367
177	AT2G22430	Homeobox	HB6	7960	0.287832218
178	AT2G46680	Homeobox	HB7	8422	0.304538058
179	AT1G69780	Homeobox	HB13	13486	0.487651419
180	AT1G70920	Homeobox	HB18	3786	0.136901103
181	AT3G01220	Homeobox	HB20	4950	0.178991141
182	AT3G61150	Homeobox	"HD-GL2-1, HDG1"	8282	0.299475683
183	AT5G16820	HSF	"HSFA1B, HSF3"	10492	0.379388899
184	AT5G06960	bZIP	"bZIP26, OBF5, TGA5"	2308	0.083456879
185	AT5G62020	HSF	"HSFB2A, HSF6"	1103	0.039884289
186	AT4G11660	HSF	"HSFB2B, HSF7"	3274	0.118387272
187	AT3G22830	HSF	HSFA6B	16790	0.607123486
188	AT2G41690	HSF	HSFB3	1104	0.039920448
189	AT3G24520	HSF	HSFC1	6025	0.217862954
190	AT5G65310	Homeobox	"HB5, HB-5"	17060	0.616886639
191	AT2G18550	Homeobox	"HB21, HB-2"	10741	0.388392696
192	AT4G36740	Homeobox	"HB40, HB-5"	16518	0.597288013
193	AT5G66700	Homeobox	"HB53, HB-8"	9750	0.352558308
194	AT5G03790	Homeobox	"HB51, LMI1"	14882	0.538130537
195	AT1G30490	Homeobox	"HB9, PHV"	7375	0.26667872
196	AT5G06839	bZIP	"TGA10, bZIP65"	4299	0.155451094
197	AT4G18880	HSF	"HSFA4A, HSF21"	717	0.025926596
198	AT3G04030	G2-like		12117	0.438148617
199	AT3G12730	G2-like		8585	0.31043211
200	AT3G24120	G2-like		19976	0.722328693
201	AT5G29000	G2-like		4077	0.147423612
202	AT4G00250	GeBP		9162	0.33129633
203	AT2G06200	GRF	GRF6	5295	0.191466281
204	AT2G45480	GRF	GRF9	2179	0.078792262
205	AT4G00730	Homeobox	"AHDP, ANL2"	5649	0.20426686
206	AT1G52150	Homeobox	"HB15, CNA, ICU4"	5388	0.194829145
207	AT1G25550	G2-like		8465	0.306092931
208	AT1G68670	G2-like		7431	0.26870367
209	AT2G01060	G2-like		11695	0.42288917
210	AT2G03500	G2-like		9700	0.350750316
211	AT2G40260	G2-like		11638	0.42082806
212	AT5G46830	bHLH	bHLH28	7057	0.255179895
213	AT4G37180	G2-like		10041	0.363080817
214	AT5G45580	G2-like		16996	0.61457241
215	AT5G08750	C3H		872	0.031531369
216	AT5G63260	ZF-HD		11158	0.403471343
217	AT1G68200	C3H		4363	0.157765323
218	AT5G09410	CAMTA	"CAMTA1, EICBP.B"	2295	0.082986802
219	AT4G16150	CAMTA	CAMTA5	673	0.024335563
220	AT1G59640	bHLH	"bHLH31, BPE, BPEP, BPEUB, ZCW32"	1651	0.059699873
221	AT2G20110	CPP		13568	0.490616525
222	AT3G22760	CPP	SOL1	10699	0.386873983
223	AT4G14770	CPP	TCX2	11284	0.408027481
224	AT5G14960	E2F-DP	"DEL2, E2FD, E2L1"	979	0.03540047
225	AT2G36010	E2F-DP	"E2FA, E2F3"	4911	0.177580908
226	AT3G20770	EIL	EIN3	1118	0.040426686
227	AT1G35460	bHLH	bHLH80	4976	0.179931296
228	AT4G15090		FAR1	748	0.02704755
229	AT1G49560	G2-like		9713	0.351220394
230	AT2G20400	G2-like		5286	0.191140843
231	AT2G37590	C2C2-Dof		13445	0.486168866
232	AT4G21030	C2C2-Dof		731	0.026432833
233	AT4G21040	C2C2-Dof		13144	0.475284759
234	AT4G21080	C2C2-Dof		14693	0.53129633
235	AT3G24050	C2C2-Gata	GATA-1	934	0.033773278
236	AT1G45249	bZIP	"ABF2, AREB1"	2112	0.076369553
237	AT3G60530	C2C2-Gata	GATA-4	1361	0.049213524
238	AT1G08010	C2C2-Gata	GATA-11	2746	0.099294883
239	AT4G36620	C2C2-Gata	GATA-19	199	0.007195805
240	AT2G18380	C2C2-Gata	GATA-20	12550	0.453805822
241	AT2G15740	C2H2		2781	0.100560477
242	AT3G60580	C2H2		8842	0.319725185
243	AT4G26030	C2H2		8528	0.308371
244	AT5G04390	C2H2		7462	0.269824625
245	AT5G22990	C2H2		4337	0.156825167
246	AT5G66730	C2H2		5126	0.18535527
247	AT2G36270	bZIP	"bZIP39, ABI5, GIA1"	4496	0.16257458
248	AT3G13810	C2H2	IDD11	2987	0.108009402
249	AT2G02080	C2H2	IDD4	9357	0.338347496
250	AT2G02070	C2H2	IDD5	7490	0.2708371
251	AT1G55110	C2H2	IDD7	4200	0.151871271
252	AT5G03150	C2H2	JKD	1965	0.071054059
253	AT1G03840	C2H2	MGP	3424	0.123811246
254	AT2G01940	C2H2	"IDD15, SGR5"	12170	0.440065088
255	AT1G34370	C2H2	STOP1	1279	0.046248418
256	AT1G27730	C2H2	"STZ, ZAT10"	14675	0.530645453
257	AT1G51220	C2H2	WIP5	5129	0.18546375
258	AT3G12130		KHZ1	9636	0.348436088
259	AT1G51700	C2C2-Dof	ADOF1	9240	0.334116796
260	AT1G64620	C2C2-Dof		15125	0.546917375
261	AT3G45610	C2C2-Dof		14781	0.534478395
262	AT3G56850	bZIP	"bZIP66, AREB3, DPBF3"	3936	0.142325077
263	AT4G38000	C2C2-Dof		7175	0.259446755
264	AT5G62940	C2C2-Dof		16515	0.597179534
265	AT5G66940	C2C2-Dof		15781	0.570638221
266	AT3G47500	C2C2-Dof	CDF3	10960	0.396311698
267	AT1G29160	C2C2-Dof	COG1	8733	0.315783764
268	AT2G46590	C2C2-Dof	DAG2	12280	0.444042669
269	AT2G46270	bZIP	"bZIP55, GBF3"	8715	0.315132887
270	AT3G50410	C2C2-Dof	OBP1	14784	0.534586874
271	AT3G55370	C2C2-Dof	OBP3	12069	0.436412945
272	AT5G60850	C2C2-Dof	OBP4	13802	0.499077924
273	AT5G45300		"BZR1, BMY2, BAM8"	2622	0.094811065
274	AT1G78700	BZR		4366	0.157873802
275	AT4G18890	BZR		787	0.028457783
276	AT4G36780	BZR		4944	0.178774182
277	AT1G75080	BZR	BZR1	960	0.034713433
278	AT1G47655	C2C2-Dof		6480	0.234315675
279	AT1G69570	C2C2-Dof		7235	0.261616344
280	AT2G28810	C2C2-Dof		17774	0.642704755
281	AT3G52440	C2C2-Dof		15349	0.555017176
282	AT5G02460	C2C2-Dof		17923	0.648092569
283	AT1G69180	C2C2-YABBY	CRC	7396	0.267438076
284	AT1G46768	AP2-EREBP	RAP2.1	1889	0.068305912
285	AT1G43160	AP2-EREBP	RAP2.6	5697	0.206002531
286	AT5G52020	AP2-EREBP	Rap2.10	7033	0.254312059
287	AT4G34410	AP2-EREBP	"Rap2.12, RRTF1"	4818	0.174218044
288	AT2G31220	bHLH	bHLH10	6890	0.249141204
289	AT5G25810	AP2-EREBP	TINY	1602	0.057928042
290	AT1G19850	ARF	"ARF5, IAA24, MP"	16725	0.604773097
291	AT5G62000	ARF	"ARF1-BP, ARF2, HSS"	9252	0.334550714
292	AT1G20910	ARID		6556	0.237063822
293	AT2G01930	BBR/BPC	"BPC1, BBR"	11999	0.433881757
294	AT3G20310	AP2-EREBP	ERF7	10826	0.391466281
295	AT1G53170	AP2-EREBP	ERF8	7604	0.27495932
296	AT3G23220	AP2-EREBP		1346	0.048671126
297	AT5G25190	AP2-EREBP		5021	0.181558489
298	AT5G13910	AP2-EREBP	"LEP, LET"	501	0.018116073
299	AT5G10510	AP2-EREBP	"AIL6, PLT3"	511	0.018477671
300	AT5G18560	AP2-EREBP	PUCHI	2412	0.087217501
301	AT5G19790	AP2-EREBP	RAP2.11	10668	0.385753028
302	AT1G53910	AP2-EREBP	RAP2.12	5399	0.195226903
303	AT5G47220	AP2-EREBP	ERF2	663	0.023973965
304	AT3G62420	bZIP	bZIP53	8374	0.302802387
305	AT1G51140	bHLH	bHLH122	7995	0.289097812
306	AT1G50640	AP2-EREBP	ERF3	2671	0.096582896
307	AT3G15210	AP2-EREBP	ERF4	8393	0.303489423
308	AT5G47230	AP2-EREBP	ERF5	700	0.025311879
309	AT1G28370	AP2-EREBP	ERF11	5657	0.204556138
310	AT2G44840	AP2-EREBP	ERF13	7829	0.283095281
311	AT2G31230	AP2-EREBP	ERF15	11987	0.433447839
312	AT2G35700	AP2-EREBP	ERF38	4367	0.157909962
313	AT5G07310	AP2-EREBP		7795	0.281865847
314	AT5G08130	bHLH	"bHLH46, BIM1"	615	0.022238293
315	AT4G27950	AP2-EREBP	CRF4	1978	0.071524137
316	AT1G68550	AP2-EREBP		4691	0.169625746
317	AT1G12610	AP2-EREBP	DDF1	2205	0.079732417
318	AT1G63030	AP2-EREBP	DDF2	314	0.011354185
319	AT5G67190	AP2-EREBP		13413	0.485011752
320	AT2G23340	AP2-EREBP		8044	0.290869644
321	AT4G06746	AP2-EREBP	RAP2.9	2105	0.076116435
322	AT1G69010	bHLH	"bHLH102, BIM2"	16234	0.587018622
323	AT2G38340	AP2-EREBP		9163	0.33133249
324	AT1G03800	AP2-EREBP	ERF10	4168	0.150714157
325	AT5G51190	AP2-EREBP		9145	0.330681613
326	AT4G25490	AP2-EREBP	"CBF1, DREB1B"	9342	0.337805099
327	AT4G25470	AP2-EREBP	"CBF2, DREB1C, FTQ4"	8523	0.308190201
328	AT4G25480	AP2-EREBP	"CBF3, DREB1A"	6745	0.243898029
329	AT5G51990	AP2-EREBP	"CBF4, DREB1D"	13274	0.479985536
330	AT3G50260	AP2-EREBP	"ERF#011, CEJ1, Rap2.1"	14013	0.506707648
331	AT1G19210	AP2-EREBP		11787	0.426215874
332	AT1G22810	AP2-EREBP		4755	0.171939975
333	AT1G36060	AP2-EREBP		3127	0.113071777
334	AT2G18350	ZF-HD	HB24	10423	0.376893871
335	AT2G33710	AP2-EREBP		10138	0.36658832
336	AT2G44940	AP2-EREBP		4550	0.16452721
337	AT4G16750	AP2-EREBP		10971	0.396709456
338	AT4G31060	AP2-EREBP		4807	0.173820286
339	AT4G32800	AP2-EREBP		3207	0.115964563
340	AT5G18450	AP2-EREBP		2095	0.075754836
341	AT5G65130	AP2-EREBP		1742	0.062990418
342	AT1G01250	AP2-EREBP		667	0.024118604
343	AT5G65410	ZF-HD	"HB25, ZFHD2"	15259	0.551762792
344	AT1G12630	AP2-EREBP		8711	0.314988248
345	AT1G28160	AP2-EREBP		6804	0.246031459
346	AT1G44830	AP2-EREBP		1398	0.050551437
347	AT1G71450	AP2-EREBP		9574	0.346194178
348	AT1G77200	AP2-EREBP		14558	0.526414753
349	AT3G16280	AP2-EREBP		10192	0.368540951
350	AT3G60490	AP2-EREBP		7329	0.265015368
351	AT4G18450	AP2-EREBP		537	0.019417827
352	AT5G60130	AP2-EREBP		12890	0.466100163
353	AT3G26790	ABI3VP1	"FUS3, FUSCA3"	2463	0.089061653
354	AT4G01500	RAV	NGA4	2043	0.073874525
355	AT3G18990	ABI3VP1	"REM39, VRN1"	5211	0.188428856
356	AT5G64750	AP2-EREBP	ABR1	7775	0.281142651
357	AT1G14687	ZF-HD	HB32	12176	0.440282047
358	AT1G75240	ZF-HD	HB33	13403	0.484650154
359	AT3G28920	ZF-HD	HB34	14118	0.51050443
360	AT1G62300	WRKY	WRKY6	4646	0.167998554
361	AT4G24240	WRKY	WRKY7	1772	0.064075212
362	AT5G46350	WRKY	WRKY8	14033	0.507430844
363	AT1G29280	WRKY	WRKY65	10214	0.369336467
364	AT3G56400	WRKY	WRKY70	6714	0.242777075
365	AT1G29860	WRKY	WRKY71	7206	0.260567709
366	AT1G32150	bZIP	bZIP68	6979	0.252359429
367	AT5G13080	WRKY	WRKY75	14151	0.511697704
368	AT5G39760	ZF-HD	HB23	15422	0.557656843
369	AT2G03340	WRKY	WRKY3	1216	0.043970349
370	AT4G18170	WRKY	WRKY28	9623	0.34796601
371	AT4G23550	WRKY	WRKY29	12033	0.435111191
372	AT5G23930		MTERF34	4466	0.161489785
373	AT5G24110	WRKY	WRKY30	3839	0.138817574
374	AT4G22070	WRKY	WRKY31	3122	0.112890978
375	AT2G38470	WRKY	WRKY33	4471	0.161670584
376	AT1G80840	WRKY	WRKY40	6131	0.221695896
377	AT3G01970	WRKY	WRKY45	7921	0.286421985
378	AT5G26170	WRKY	WRKY50	10181	0.368143193
379	AT2G40740	WRKY	WRKY55	7217	0.260965467
380	AT2G23320	WRKY	WRKY15	14915	0.539323811
381	AT3G42860			2167	0.078358344
382	AT4G31800	WRKY	WRKY18	14136	0.511155306
383	AT4G26640	WRKY	WRKY20	2017	0.07293437
384	AT2G30590	WRKY	WRKY21	1370	0.049538962
385	AT4G01250	WRKY	WRKY22	15204	0.549774001
386	AT5G41570	WRKY	WRKY24	10009	0.361923703
387	AT2G30250	WRKY	WRKY25	11329	0.409654674
